id,title,filename,quality,chars,industry_tags,style_tags,interaction_tags,stack_tags,layout_tags,asset_tags,file
019,Luxury Botanical,019-Luxury Botanical.md,long_spec_or_code,36698,agriculture_nature,cosmic_space|dark_cinematic|editorial_art|luxury_minimal|organic_nature,contact_form|css_3d|cursor_follow|framer_motion|hover_microinteraction|scroll_parallax|video_background,react|tailwind_css,,cloudfront_video|cloudinary_asset|external_media|google_fonts,kb/prompts/019-Luxury Botanical.md
020,Cursor Follow,020-Cursor Follow.md,stub_or_empty,15,,,cursor_follow,,,,kb/prompts/020-Cursor Follow.md
021,Build With Us,021-Build With Us.md,usable_spec,6299,agency_studio,bold_typography|clean_white|dark_cinematic|editorial_art|gradient_glow|liquid_glass|luxury_minimal,contact_form|css_3d|hover_microinteraction|video_background,lucide_react|react|tailwind_css|typescript|vite,card_shell|cta_waitlist|full_viewport|hero_only|multi_section|navbar|single_page,cloudfront_video|external_media|google_fonts,kb/prompts/021-Build With Us.md
022,Liquid Glass Agency,022-Liquid Glass Agency.md,high_detail_spec,13428,agency_studio|ai_saas,dark_cinematic|editorial_art|gradient_glow|liquid_glass|luxury_minimal,framer_motion|scroll_parallax|video_background,framer_motion|hls_js|intersection_observer|lucide_react|react|shadcn_ui|tailwind_css|vite,card_shell|cta_waitlist|hero_only|multi_section|navbar|single_page,cloudfront_video|external_media|google_fonts|mux_video,kb/prompts/022-Liquid Glass Agency.md
023,Grow AI Talent Platform,023-Grow AI Talent Platform.md,usable_spec,5623,ai_saas|developer_tools|hr_recruiting,bold_typography|clean_white|dark_cinematic|editorial_art|gradient_glow|liquid_glass|luxury_minimal|split_panel,hover_microinteraction|marquee|video_background,react|shadcn_ui|tailwind_css|typescript|vite,card_shell|cta_waitlist|hero_only|multi_section|navbar|single_page,cloudfront_video|external_media,kb/prompts/023-Grow AI Talent Platform.md
024,Luxury Ecommerce Design,024-Luxury Ecommerce Design.md,usable_spec,10553,ai_saas|ecommerce_luxury,clean_white|cosmic_space|dark_cinematic|gradient_glow|liquid_glass|luxury_minimal|split_panel,cursor_follow|hamburger_menu|hover_microinteraction|scroll_parallax|video_background,intersection_observer|lucide_react|react|tailwind_css|typescript|vite,card_shell|carousel|full_viewport|multi_section|navbar|single_page,cloudfront_video|external_media,kb/prompts/024-Luxury Ecommerce Design.md
025,Contact Cybernetic,025-Contact Cybernetic.md,usable_spec,6485,developer_tools|real_estate_architecture,bold_typography|clean_white|dark_cinematic|liquid_glass,canvas_frame|cursor_follow|framer_motion|hamburger_menu|hover_microinteraction|scroll_parallax|video_background,framer_motion|lucide_react|react|tailwind_css,cta_waitlist|full_viewport|hero_only|multi_section|navbar,cloudfront_video|external_media|google_fonts,kb/prompts/025-Contact Cybernetic.md
026,Glassmorphism Agency Hero,026-Glassmorphism Agency Hero.md,usable_spec,3428,agency_studio,bold_typography|clean_white|cyber_futuristic|dark_cinematic|editorial_art|gradient_glow|liquid_glass|luxury_minimal|organic_nature,framer_motion|video_background,framer_motion|hls_js|lucide_react|react|tailwind_css|tailwind_v4|typescript|vite,carousel|cta_waitlist|hero_only|single_page,external_media,kb/prompts/026-Glassmorphism Agency Hero.md
027,AeroCore,027-AeroCore.md,long_spec_or_code,75461,space_futuristic,editorial_art|gradient_glow|luxury_minimal|organic_nature,canvas_frame|cursor_follow|hover_microinteraction|marquee|scroll_parallax|video_background,,full_viewport|hero_only,cloudfront_video|cloudinary_asset|external_media,kb/prompts/027-AeroCore.md
028,Asme-Hero Section,028-Asme-Hero Section.md,usable_spec,4429,,clean_white|cosmic_space|cyber_futuristic|dark_cinematic|editorial_art|gradient_glow|liquid_glass|luxury_minimal,canvas_frame|hover_microinteraction|video_background,lucide_react|react|tailwind_css|typescript|vite,full_viewport|hero_only|multi_section|navbar|single_page,cloudfront_video|external_media|google_fonts,kb/prompts/028-Asme-Hero Section.md
029,Scroll Landing Page,029-Scroll Landing Page.md,high_detail_spec,15934,,cosmic_space|dark_cinematic|editorial_art|liquid_glass|luxury_minimal,canvas_frame|cursor_follow|framer_motion|gsap|hover_microinteraction|scroll_parallax|video_background,custom_css|framer_motion|lucide_react|react|react_19|tailwind_css|tailwind_v4|typescript|vite,multi_section|navbar|single_page,cloudfront_video|external_media|google_fonts,kb/prompts/029-Scroll Landing Page.md
030,Logoisum Video Agency Hero,030-Logoisum Video Agency Hero.md,thin_reference,1615,agency_studio,bold_typography|dark_cinematic|editorial_art|luxury_minimal,contact_form|video_background,,cta_waitlist|full_viewport|hero_only|multi_section|navbar,cloudfront_video|external_media,kb/prompts/030-Logoisum Video Agency Hero.md
031,Orbis NFT,031-Orbis NFT.md,usable_spec,8489,space_futuristic|web3_nft,clean_white|cosmic_space|cyber_futuristic|dark_cinematic|editorial_art|gradient_glow|liquid_glass|organic_nature,contact_form|hover_microinteraction|video_background,lucide_react|react|tailwind_css|typescript|vite,card_shell|cta_waitlist|full_viewport|multi_section|navbar|single_page,cloudfront_video|external_media|google_fonts,kb/prompts/031-Orbis NFT.md
032,Innovation,032-Innovation.md,usable_spec,9131,,clean_white|dark_cinematic|editorial_art|gradient_glow|liquid_glass|luxury_minimal,framer_motion|hover_microinteraction|video_background,lucide_react|react|tailwind_css|typescript|vite,card_shell|full_viewport|hero_only|multi_section|navbar|single_page,cloudfront_video|external_media|google_fonts,kb/prompts/032-Innovation.md
033,FinFlow,033-FinFlow.md,stub_or_empty,9,finance_fintech,,,,,,kb/prompts/033-FinFlow.md
034,AI Automation Hero,034-AI Automation Hero.md,usable_spec,2730,ai_saas|developer_tools,clean_white|dark_cinematic|editorial_art|gradient_glow|liquid_glass|luxury_minimal|split_panel,framer_motion|video_background,hls_js|lucide_react|react,cta_waitlist|full_viewport|hero_only,external_media|mux_video,kb/prompts/034-AI Automation Hero.md
035,Bio-Digital-HERO（单首屏）,035-Bio-Digital-HERO（单首屏）.md,usable_spec,8146,agency_studio,bold_typography|clean_white|cyber_futuristic|dark_cinematic|editorial_art|gradient_glow|luxury_minimal|organic_nature,contact_form|cursor_follow|framer_motion|hover_microinteraction|video_background,framer_motion|lucide_react|react|react_19|tailwind_css|tailwind_v4|typescript|vite,full_viewport|hero_only|multi_section|navbar|single_page,cloudfront_video|external_media|google_fonts,kb/prompts/035-Bio-Digital-HERO（单首屏）.md
036,Shamoni,036-Shamoni.md,high_detail_spec,21609,art_museum_culture|developer_tools,cosmic_space|dark_cinematic|editorial_art|luxury_minimal,css_3d|cursor_follow|framer_motion|hover_microinteraction|scroll_parallax|video_background,framer_motion|lucide_react|react|tailwind_css|tailwind_v4|typescript|vite,single_page,cloudinary_asset|external_media|google_fonts,kb/prompts/036-Shamoni.md
037,Velorix IIC,037-Velorix IIC.md,usable_spec,9318,ai_saas|cybersecurity_security|developer_tools,clean_white|dark_cinematic|editorial_art|liquid_glass|luxury_minimal,framer_motion|hamburger_menu|hover_microinteraction|video_background,framer_motion|lucide_react|react|typescript,full_viewport|hero_only|navbar,cloudfront_video|external_media,kb/prompts/037-Velorix IIC.md
038,Synapse Dark Hero,038-Synapse Dark Hero.md,thin_reference,1664,,bold_typography|dark_cinematic|gradient_glow|liquid_glass,framer_motion|marquee|video_background,framer_motion|hls_js|react|tailwind_css,cta_waitlist|hero_only|multi_section|navbar,external_media|mux_video,kb/prompts/038-Synapse Dark Hero.md
039,No-Code Waitlist,039-No-Code Waitlist.md,usable_spec,6568,ai_saas|developer_tools,dark_cinematic|editorial_art|gradient_glow|liquid_glass|luxury_minimal,contact_form|cursor_follow|framer_motion|hover_microinteraction|scroll_parallax|video_background,hls_js|lucide_react|react|tailwind_css|tailwind_v4|vite,cta_waitlist|full_viewport|hero_only|multi_section|navbar|single_page,external_media|google_fonts|mux_video,kb/prompts/039-No-Code Waitlist.md
040,Portfolio Cosmic,040-Portfolio Cosmic.md,usable_spec,8411,agency_studio|portfolio_creator|space_futuristic,bold_typography|cosmic_space|dark_cinematic|editorial_art|gradient_glow|liquid_glass|luxury_minimal,css_3d|framer_motion|gsap|hover_microinteraction|marquee|scroll_parallax|video_background,framer_motion|hls_js|react|tailwind_css|typescript|vite,card_shell|cta_waitlist|full_viewport|multi_section|navbar|single_page,external_media|google_fonts|mux_video,kb/prompts/040-Portfolio Cosmic.md
041,HR SaaS Hero,041-HR SaaS Hero.md,usable_spec,2264,hr_recruiting,dark_cinematic|editorial_art|gradient_glow|luxury_minimal,video_background,react|tailwind_css|tailwind_v4,cta_waitlist|full_viewport|hero_only|navbar,cloudfront_video|external_media,kb/prompts/041-HR SaaS Hero.md
042,Securify Data Security,042-Securify Data Security.md,usable_spec,3903,cybersecurity_security|developer_tools,bold_typography|clean_white|dark_cinematic|editorial_art|gradient_glow|liquid_glass|luxury_minimal,hover_microinteraction|video_background,react|tailwind_css|typescript,full_viewport|hero_only|navbar|single_page,cloudfront_video|external_media,kb/prompts/042-Securify Data Security.md
043,New Era Bold Hero,043-New Era Bold Hero.md,thin_reference,1708,,bold_typography|dark_cinematic|editorial_art|luxury_minimal,hover_microinteraction|video_background,react|tailwind_css,cta_waitlist|full_viewport|hero_only,cloudfront_video|external_media,kb/prompts/043-New Era Bold Hero.md
044,VaultShield Hero,044-VaultShield Hero.md,usable_spec,4820,cybersecurity_security|space_futuristic,cosmic_space|dark_cinematic|editorial_art|liquid_glass|luxury_minimal,framer_motion|hamburger_menu|hover_microinteraction|video_background,framer_motion|lucide_react|react|tailwind_css|typescript,cta_waitlist|full_viewport|hero_only|navbar,cloudfront_video|external_media|google_fonts|online_webfonts,kb/prompts/044-VaultShield Hero.md
045,Portal,045-Portal.md,usable_spec,6788,,cosmic_space|dark_cinematic|editorial_art|gradient_glow|liquid_glass|luxury_minimal,hamburger_menu|hover_microinteraction|video_background,lucide_react|react|tailwind_css,cta_waitlist|full_viewport|hero_only|navbar,cloudfront_video|external_media|google_fonts,kb/prompts/045-Portal.md
046,Solar Energy Hero,046-Solar Energy Hero.md,high_detail_spec,13843,energy_solar,cyber_futuristic|dark_cinematic|gradient_glow|liquid_glass,cursor_follow|hamburger_menu|hover_microinteraction,custom_css|lucide_react|react|tailwind_css|typescript|vite,cta_waitlist|full_viewport|hero_only|multi_section|navbar|single_page,cloudinary_asset|external_media|google_fonts,kb/prompts/046-Solar Energy Hero.md
047,Celestia,047-Celestia.md,stub_or_empty,10,space_futuristic,cosmic_space,,,,,kb/prompts/047-Celestia.md
048,Buzzentic Agency,048-Buzzentic Agency.md,stub_or_empty,18,agency_studio,,,,,,kb/prompts/048-Buzzentic Agency.md
049,Cinematic Landing Page,049-Cinematic Landing Page.md,stub_or_empty,24,,dark_cinematic,,,single_page,,kb/prompts/049-Cinematic Landing Page.md
050,Mindloop Landing,050-Mindloop Landing.md,usable_spec,7391,ai_saas|developer_tools,cosmic_space|dark_cinematic|editorial_art|gradient_glow|liquid_glass|luxury_minimal,contact_form|framer_motion|hover_microinteraction|scroll_parallax|video_background,framer_motion|hls_js|lucide_react|react|shadcn_ui|tailwind_css|typescript|vite,card_shell|cta_waitlist|full_viewport|hero_only|multi_section|navbar|single_page,cloudfront_video|external_media|mux_video,kb/prompts/050-Mindloop Landing.md
051,AI Workflow Hero,051-AI Workflow Hero.md,high_detail_spec,16646,ai_saas|real_estate_architecture,dark_cinematic|editorial_art|luxury_minimal|organic_nature,canvas_frame|framer_motion|hamburger_menu|hover_microinteraction|video_background,framer_motion|lucide_react|react|tailwind_css|typescript|vite,full_viewport|hero_only,cloudfront_video|external_media|google_fonts|online_webfonts,kb/prompts/051-AI Workflow Hero.md
052,Loader Animation,052-Loader Animation.md,usable_spec,3413,agency_studio|portfolio_creator,bold_typography|editorial_art|gradient_glow|luxury_minimal,canvas_frame|framer_motion|loader_animation,framer_motion|react|typescript,full_viewport,google_fonts,kb/prompts/052-Loader Animation.md
053,AI Automation,053-AI Automation.md,usable_spec,9512,agency_studio|ai_saas|space_futuristic,cosmic_space|editorial_art|luxury_minimal,cursor_follow|framer_motion|hover_microinteraction|scroll_parallax|video_background,framer_motion|lucide_react|react|tailwind_css|vite,card_shell|full_viewport|hero_only|multi_section|navbar|single_page,cloudfront_video|external_media|online_webfonts,kb/prompts/053-AI Automation.md
054,EMBER.dsgn,054-EMBER.dsgn.md,usable_spec,6410,agency_studio,clean_white|cyber_futuristic|dark_cinematic|editorial_art|liquid_glass|luxury_minimal|split_panel,framer_motion|hamburger_menu|hover_microinteraction|video_background,framer_motion|hls_js|lucide_react|react|react_19|tailwind_css|tailwind_v4|typescript|vite,full_viewport|hero_only|multi_section|navbar|single_page,external_media|google_fonts|mux_video,kb/prompts/054-EMBER.dsgn.md
055,Cybersecurity Hero v2,055-Cybersecurity Hero v2.md,usable_spec,7233,cybersecurity_security,clean_white|dark_cinematic|gradient_glow|luxury_minimal,canvas_frame|hamburger_menu|hover_microinteraction,lucide_react|react|tailwind_css|typescript|vite,card_shell|cta_waitlist|full_viewport|hero_only|navbar|single_page,google_fonts,kb/prompts/055-Cybersecurity Hero v2.md
056,ClearInvoice SaaS Hero,056-ClearInvoice SaaS Hero.md,usable_spec,2151,finance_fintech,bold_typography|clean_white|cyber_futuristic|dark_cinematic|gradient_glow|liquid_glass,framer_motion|hamburger_menu|hover_microinteraction|video_background,framer_motion|hls_js|lucide_react|react|tailwind_css|vite,hero_only|multi_section|navbar,external_media|mux_video,kb/prompts/056-ClearInvoice SaaS Hero.md
057,RIVR,057-RIVR.md,usable_spec,8137,,clean_white|dark_cinematic|editorial_art|liquid_glass|luxury_minimal,cursor_follow|framer_motion|hover_microinteraction|video_background,framer_motion|lucide_react|react|tailwind_css|typescript,dashboard_mockup|full_viewport|hero_only|navbar,cloudfront_video|external_media|local_font|online_webfonts,kb/prompts/057-RIVR.md
058,Nimbus Grid,058-Nimbus Grid.md,high_detail_spec,16826,cybersecurity_security|developer_tools,cosmic_space|dark_cinematic|gradient_glow|liquid_glass|organic_nature|split_panel,contact_form|css_3d|cursor_follow|hover_microinteraction|scroll_parallax|video_background,vite,card_shell|cta_waitlist|full_viewport|multi_section|single_page,external_media|google_fonts,kb/prompts/058-Nimbus Grid.md
059,WISA Space-Hero Section,059-WISA Space-Hero Section.md,stub_or_empty,64,agency_studio|ai_saas|space_futuristic,cosmic_space,,,hero_only,,kb/prompts/059-WISA Space-Hero Section.md
060,Book Hero,060-Book Hero.md,stub_or_empty,11,art_museum_culture,,,,hero_only,,kb/prompts/060-Book Hero.md
061,AI Designer Portfolio,061-AI Designer Portfolio.md,usable_spec,11628,agency_studio|ai_saas|portfolio_creator,clean_white|cosmic_space|dark_cinematic|editorial_art|luxury_minimal,cursor_follow|hover_microinteraction|marquee|scroll_parallax|video_background,intersection_observer|lucide_react|react|tailwind_css|typescript|vite,card_shell|carousel|hero_only|single_page,cloudfront_video|external_media|local_font,kb/prompts/061-AI Designer Portfolio.md
062,Neo Museum,062-Neo Museum.md,high_detail_spec,15218,art_museum_culture,clean_white|dark_cinematic|editorial_art|luxury_minimal|organic_nature|split_panel,css_3d|framer_motion|hamburger_menu|hover_microinteraction|scroll_parallax|video_background,framer_motion|lucide_react|react|react_19|tailwind_css|tailwind_v4|typescript|vite,cta_waitlist|full_viewport|hero_only|multi_section,cloudinary_asset|external_media|google_fonts,kb/prompts/062-Neo Museum.md
063,Targo Logistics Hero,063-Targo Logistics Hero.md,usable_spec,2215,logistics,bold_typography|dark_cinematic|gradient_glow|liquid_glass|luxury_minimal,video_background,lucide_react|react|tailwind_css,card_shell|hero_only|multi_section|navbar,cloudfront_video|external_media,kb/prompts/063-Targo Logistics Hero.md
064,Minimal Workflow SaaS,064-Minimal Workflow SaaS.md,usable_spec,11016,ai_saas,bold_typography|clean_white|cyber_futuristic|editorial_art|gradient_glow|liquid_glass|luxury_minimal,contact_form|framer_motion|hover_microinteraction|scroll_parallax|video_background,framer_motion|lucide_react|react|react_19|tailwind_css|tailwind_v4|typescript|vite,card_shell|cta_waitlist|dashboard_mockup|full_viewport|hero_only|navbar,cloudfront_video|external_media|google_fonts,kb/prompts/064-Minimal Workflow SaaS.md
065,Futuristic Tech,065-Futuristic Tech.md,usable_spec,4841,ai_saas|cybersecurity_security|developer_tools|space_futuristic,clean_white|cyber_futuristic|dark_cinematic|editorial_art|gradient_glow|liquid_glass|luxury_minimal,hamburger_menu|hover_microinteraction|video_background,lucide_react|react|tailwind_css|typescript|vite,cta_waitlist|full_viewport|hero_only|navbar,cloudfront_video|external_media|google_fonts,kb/prompts/065-Futuristic Tech.md
066,CodeNest Coding Platform,066-CodeNest Coding Platform.md,usable_spec,2651,developer_tools|space_futuristic,bold_typography|dark_cinematic|editorial_art|gradient_glow|liquid_glass|luxury_minimal|organic_nature,canvas_frame|hamburger_menu|hover_microinteraction|scroll_parallax|video_background,hls_js|lucide_react|react|tailwind_css,card_shell|cta_waitlist|full_viewport|hero_only|multi_section|navbar,external_media|mux_video,kb/prompts/066-CodeNest Coding Platform.md
067,Stellar Launch,067-Stellar Launch.md,usable_spec,10887,space_futuristic,clean_white|cosmic_space|dark_cinematic|editorial_art|gradient_glow|luxury_minimal,contact_form|hover_microinteraction|scroll_parallax|video_background,custom_css|lucide_react|react|tailwind_css|typescript|vite,card_shell|cta_waitlist|full_viewport|hero_only|multi_section|navbar|single_page,cloudfront_video|external_media|google_fonts|online_webfonts,kb/prompts/067-Stellar Launch.md
068,Acreage Farming,068-Acreage Farming.md,thin_reference,143,agriculture_nature,dark_cinematic|gradient_glow|organic_nature,marquee|video_background,,single_page,,kb/prompts/068-Acreage Farming.md
069,Evergreen Finance,069-Evergreen Finance.md,usable_spec,10972,finance_fintech,clean_white|dark_cinematic|editorial_art|gradient_glow|liquid_glass|luxury_minimal|organic_nature,canvas_frame|framer_motion|hamburger_menu|hover_microinteraction|scroll_parallax|video_background,framer_motion|lucide_react|react|tailwind_css|typescript|vite,card_shell|cta_waitlist|dashboard_mockup|full_viewport|hero_only|multi_section|navbar|single_page,cloudfront_video|external_media|online_webfonts,kb/prompts/069-Evergreen Finance.md
070,Bloom AI Hero Section,070-Bloom AI Hero Section.md,usable_spec,3987,ai_saas|developer_tools,clean_white|editorial_art|gradient_glow|liquid_glass|luxury_minimal|split_panel,css_3d|hover_microinteraction|video_background,lucide_react|react,card_shell|cta_waitlist|full_viewport|hero_only|single_page,cloudfront_video|external_media|google_fonts,kb/prompts/070-Bloom AI Hero Section.md
071,FinancialFocus,071-FinancialFocus.md,long_spec_or_code,55116,finance_fintech,cyber_futuristic|dark_cinematic|editorial_art|gradient_glow|luxury_minimal|organic_nature,css_3d|cursor_follow|hover_microinteraction|scroll_parallax|video_background,react|tailwind_css|tailwind_v4|typescript,card_shell|carousel|full_viewport|hero_only,cloudfront_video|external_media|google_fonts,kb/prompts/071-FinancialFocus.md
